2022-08-21 10:30:30.195256, info, 32bytes from 10.10.0.1, icmp_seq=58, ttl=64, time=1 ms
2022-08-21 10:30:31.201038, info, 32bytes from 10.10.0.1, icmp_seq=59, ttl=64, time=1 ms
2022-08-21 10:30:32.208566, info, 32bytes from 10.10.0.1, icmp_seq=60, ttl=64, time=1 ms
2022-08-21 10:30:33.210198, info, 32bytes from 10.10.0.1, icmp_seq=61, ttl=64, time=1 ms
2022-08-21 10:30:34.216675, info, 32bytes from 10.10.0.1, icmp_seq=62, ttl=64, time=1 ms
2022-08-21 10:30:35.221108, info, 32bytes from 10.10.0.1, icmp_seq=63, ttl=64, time=1 ms
2022-08-21 10:30:36.221802, info, 32bytes from 10.10.0.1, icmp_seq=64, ttl=64, time=1 ms
2022-08-21 10:30:37.233496, info, 32bytes from 10.10.0.1, icmp_seq=65, ttl=64, time=1 ms
2022-08-21 10:30:38.238178, info, 32bytes from 10.10.0.1, icmp_seq=66, ttl=64, time=2 ms
2022-08-21 10:30:39.254168, info, 32bytes from 10.10.0.1, icmp_seq=67, ttl=64, time=1 ms
2022-08-21 10:30:40.260904, info, 32bytes from 10.10.0.1, icmp_seq=68, ttl=64, time=1 ms
2022-08-21 10:30:41.261539, info, 32bytes from 10.10.0.1, icmp_seq=69, ttl=64, time=2 ms
2022-08-21 22:41:09.226967, info, 32bytes from 192.168.1.1, icmp_seq=1, ttl=64, time=1 ms
2022-08-21 22:41:10.234227, info, 32bytes from 192.168.1.1, icmp_seq=2, ttl=64, time=1 ms
2022-08-21 22:41:11.243747, info, 32bytes from 192.168.1.1, icmp_seq=3, ttl=64, time=1 ms
2022-08-21 22:41:12.252741, info, 32bytes from 192.168.1.1, icmp_seq=4, ttl=64, time=1 ms
2022-08-21 22:41:13.258411, info, 32bytes from 192.168.1.1, icmp_seq=5, ttl=64, time=2 ms
2022-08-21 22:41:14.264234, info, 32bytes from 192.168.1.1, icmp_seq=6, ttl=64, time=1 ms
2022-08-21 22:41:15.273883, info, 32bytes from 192.168.1.1, icmp_seq=7, ttl=64, time=2 ms
2022-08-21 22:41:16.286085, info, 32bytes from 192.168.1.1, icmp_seq=8, ttl=64, time=1 ms
