2022-08-24 22:48:15.024200, info, 32bytes from 192.168.2.1, icmp_seq=1, ttl=64, time=0 ms
2022-08-24 22:48:16.037443, info, 32bytes from 192.168.2.1, icmp_seq=2, ttl=64, time=1 ms
2022-08-24 22:48:17.039845, info, 32bytes from 192.168.2.1, icmp_seq=3, ttl=64, time=1 ms
2022-08-24 22:48:18.049726, info, 32bytes from 192.168.2.1, icmp_seq=4, ttl=64, time=1 ms
2022-08-24 22:48:19.056759, info, 32bytes from 192.168.2.1, icmp_seq=5, ttl=64, time=1 ms
2022-08-24 22:48:20.068334, info, 32bytes from 192.168.2.1, icmp_seq=6, ttl=64, time=4 ms
2022-08-24 22:48:21.081126, info, 32bytes from 192.168.2.1, icmp_seq=7, ttl=64, time=0 ms
2022-08-24 22:48:22.089596, info, 32bytes from 192.168.2.1, icmp_seq=8, ttl=64, time=1 ms
2022-08-24 22:48:23.097877, info, 32bytes from 192.168.2.1, icmp_seq=9, ttl=64, time=1 ms
2022-08-24 22:48:24.112428, info, 32bytes from 192.168.2.1, icmp_seq=10, ttl=64, time=1 ms
2022-08-24 22:48:25.125059, info, 32bytes from 192.168.2.1, icmp_seq=11, ttl=64, time=1 ms
2022-08-24 22:48:26.131487, info, 32bytes from 192.168.2.1, icmp_seq=12, ttl=64, time=2 ms
2022-08-24 22:48:27.131305, info, 32bytes from 192.168.2.1, icmp_seq=13, ttl=64, time=1 ms
2022-08-24 22:48:28.136260, info, 32bytes from 192.168.2.1, icmp_seq=14, ttl=64, time=1 ms
2022-08-24 22:48:29.148354, info, 32bytes from 192.168.2.1, icmp_seq=15, ttl=64, time=2 ms
2022-08-24 22:48:30.148343, info, 32bytes from 192.168.2.1, icmp_seq=16, ttl=64, time=1 ms
2022-08-24 22:48:31.158629, info, 32bytes from 192.168.2.1, icmp_seq=17, ttl=64, time=1 ms
2022-08-24 22:48:32.173734, info, 32bytes from 192.168.2.1, icmp_seq=18, ttl=64, time=3 ms
2022-08-24 22:48:33.180007, info, 32bytes from 192.168.2.1, icmp_seq=19, ttl=64, time=1 ms
2022-08-24 22:48:34.189699, info, 32bytes from 192.168.2.1, icmp_seq=20, ttl=64, time=1 ms
2022-08-24 22:48:35.196527, info, 32bytes from 192.168.2.1, icmp_seq=21, ttl=64, time=1 ms
2022-08-24 22:48:36.198279, info, 32bytes from 192.168.2.1, icmp_seq=22, ttl=64, time=1 ms
2022-08-24 22:48:37.211150, info, 32bytes from 192.168.2.1, icmp_seq=23, ttl=64, time=0 ms
2022-08-24 22:48:38.215672, info, 32bytes from 192.168.2.1, icmp_seq=24, ttl=64, time=1 ms
2022-08-24 22:48:39.223729, info, 32bytes from 192.168.2.1, icmp_seq=25, ttl=64, time=1 ms
2022-08-24 22:48:40.242520, info, 32bytes from 192.168.2.1, icmp_seq=26, ttl=64, time=5 ms
2022-08-24 22:48:41.243503, info, 32bytes from 192.168.2.1, icmp_seq=27, ttl=64, time=1 ms
2022-08-24 22:48:42.259194, info, 32bytes from 192.168.2.1, icmp_seq=28, ttl=64, time=1 ms
2022-08-24 22:48:43.259854, info, 32bytes from 192.168.2.1, icmp_seq=29, ttl=64, time=1 ms
2022-08-24 22:48:44.270712, info, 32bytes from 192.168.2.1, icmp_seq=30, ttl=64, time=8 ms
2022-08-24 22:48:45.277331, info, 32bytes from 192.168.2.1, icmp_seq=31, ttl=64, time=1 ms
2022-08-24 22:48:46.290614, info, 32bytes from 192.168.2.1, icmp_seq=32, ttl=64, time=1 ms
2022-08-24 22:48:47.292994, info, 32bytes from 192.168.2.1, icmp_seq=33, ttl=64, time=1 ms
2022-08-24 22:48:48.298346, info, 32bytes from 192.168.2.1, icmp_seq=34, ttl=64, time=5 ms
2022-08-24 22:48:49.300905, info, 32bytes from 192.168.2.1, icmp_seq=35, ttl=64, time=0 ms
2022-08-24 22:48:50.314801, info, 32bytes from 192.168.2.1, icmp_seq=36, ttl=64, time=1 ms
2022-08-24 22:48:51.324191, info, 32bytes from 192.168.2.1, icmp_seq=37, ttl=64, time=1 ms
2022-08-24 22:48:52.332106, info, 32bytes from 192.168.2.1, icmp_seq=38, ttl=64, time=1 ms
2022-08-24 22:48:53.340595, info, 32bytes from 192.168.2.1, icmp_seq=39, ttl=64, time=2 ms
2022-08-24 22:48:54.354232, info, 32bytes from 192.168.2.1, icmp_seq=40, ttl=64, time=1 ms
2022-08-24 22:48:55.363186, info, 32bytes from 192.168.2.1, icmp_seq=41, ttl=64, time=1 ms
2022-08-24 22:48:56.365845, info, 32bytes from 192.168.2.1, icmp_seq=42, ttl=64, time=0 ms
2022-08-24 22:48:57.373879, info, 32bytes from 192.168.2.1, icmp_seq=43, ttl=64, time=5 ms
2022-08-24 22:48:58.378945, info, 32bytes from 192.168.2.1, icmp_seq=44, ttl=64, time=1 ms
2022-08-24 22:48:59.384790, info, 32bytes from 192.168.2.1, icmp_seq=45, ttl=64, time=1 ms
2022-08-24 22:49:00.395044, info, 32bytes from 192.168.2.1, icmp_seq=46, ttl=64, time=1 ms
2022-08-24 22:49:01.408331, info, 32bytes from 192.168.2.1, icmp_seq=47, ttl=64, time=1 ms
2022-08-24 22:49:02.422262, info, 32bytes from 192.168.2.1, icmp_seq=48, ttl=64, time=1 ms
2022-08-24 22:49:03.431829, info, 32bytes from 192.168.2.1, icmp_seq=49, ttl=64, time=1 ms
2022-08-24 22:49:04.445053, info, 32bytes from 192.168.2.1, icmp_seq=50, ttl=64, time=1 ms
2022-08-24 22:49:05.454359, info, 32bytes from 192.168.2.1, icmp_seq=51, ttl=64, time=4 ms
2022-08-24 22:49:06.456107, info, 32bytes from 192.168.2.1, icmp_seq=52, ttl=64, time=3 ms
2022-08-24 22:49:07.469029, info, 32bytes from 192.168.2.1, icmp_seq=53, ttl=64, time=1 ms
2022-08-24 22:49:08.474174, info, 32bytes from 192.168.2.1, icmp_seq=54, ttl=64, time=1 ms
2022-08-24 22:49:09.487057, info, 32bytes from 192.168.2.1, icmp_seq=55, ttl=64, time=1 ms
2022-08-24 22:49:10.500906, info, 32bytes from 192.168.2.1, icmp_seq=56, ttl=64, time=1 ms
2022-08-24 22:49:11.512894, info, 32bytes from 192.168.2.1, icmp_seq=57, ttl=64, time=1 ms
2022-08-24 22:49:12.529175, info, 32bytes from 192.168.2.1, icmp_seq=58, ttl=64, time=1 ms
2022-08-24 22:49:13.542078, info, 32bytes from 192.168.2.1, icmp_seq=59, ttl=64, time=4 ms
2022-08-24 22:49:14.556664, info, 32bytes from 192.168.2.1, icmp_seq=60, ttl=64, time=4 ms
2022-08-24 22:49:15.570011, info, 32bytes from 192.168.2.1, icmp_seq=61, ttl=64, time=1 ms
2022-08-24 22:49:16.571049, info, 32bytes from 192.168.2.1, icmp_seq=62, ttl=64, time=2 ms
2022-08-24 22:49:17.580933, info, 32bytes from 192.168.2.1, icmp_seq=63, ttl=64, time=1 ms
2022-08-24 22:49:18.595558, info, 32bytes from 192.168.2.1, icmp_seq=64, ttl=64, time=0 ms
2022-08-24 22:49:19.609225, info, 32bytes from 192.168.2.1, icmp_seq=65, ttl=64, time=7 ms
2022-08-24 22:52:48.654592, info, 32bytes from 192.168.2.1, icmp_seq=1, ttl=64, time=1 ms
2022-08-24 22:52:49.659153, info, 32bytes from 192.168.2.1, icmp_seq=2, ttl=64, time=1 ms
2022-08-24 22:52:50.671247, info, 32bytes from 192.168.2.1, icmp_seq=3, ttl=64, time=4 ms
2022-08-24 22:52:51.675521, info, 32bytes from 192.168.2.1, icmp_seq=4, ttl=64, time=1 ms
2022-08-24 22:52:52.682540, info, 32bytes from 192.168.2.1, icmp_seq=5, ttl=64, time=1 ms
2022-08-24 22:52:53.695864, info, 32bytes from 192.168.2.1, icmp_seq=6, ttl=64, time=1 ms
2022-08-24 22:52:54.706930, info, 32bytes from 192.168.2.1, icmp_seq=7, ttl=64, time=1 ms
2022-08-24 22:52:55.711434, info, 32bytes from 192.168.2.1, icmp_seq=8, ttl=64, time=0 ms
2022-08-24 22:52:56.720994, info, 32bytes from 192.168.2.1, icmp_seq=9, ttl=64, time=1 ms
2022-08-24 22:52:57.727657, info, 32bytes from 192.168.2.1, icmp_seq=10, ttl=64, time=2 ms
2022-08-24 22:52:58.737200, info, 32bytes from 192.168.2.1, icmp_seq=11, ttl=64, time=1 ms
2022-08-24 22:52:59.754060, info, 32bytes from 192.168.2.1, icmp_seq=12, ttl=64, time=5 ms
2022-08-24 22:53:00.759887, info, 32bytes from 192.168.2.1, icmp_seq=13, ttl=64, time=1 ms
2022-08-24 22:53:01.767202, info, 32bytes from 192.168.2.1, icmp_seq=14, ttl=64, time=2 ms
2022-08-24 22:53:02.770437, info, 32bytes from 192.168.2.1, icmp_seq=15, ttl=64, time=1 ms
2022-08-24 22:53:03.784813, info, 32bytes from 192.168.2.1, icmp_seq=16, ttl=64, time=1 ms
2022-08-24 22:53:04.790309, info, 32bytes from 192.168.2.1, icmp_seq=17, ttl=64, time=1 ms
2022-08-24 22:53:05.805589, info, 32bytes from 192.168.2.1, icmp_seq=18, ttl=64, time=2 ms
2022-08-24 22:53:06.815780, info, 32bytes from 192.168.2.1, icmp_seq=19, ttl=64, time=0 ms
2022-08-24 22:53:07.826810, info, 32bytes from 192.168.2.1, icmp_seq=20, ttl=64, time=2 ms
2022-08-24 22:53:08.839873, info, 32bytes from 192.168.2.1, icmp_seq=21, ttl=64, time=1 ms
2022-08-24 22:53:09.847950, info, 32bytes from 192.168.2.1, icmp_seq=22, ttl=64, time=1 ms
2022-08-24 22:53:10.861606, info, 32bytes from 192.168.2.1, icmp_seq=23, ttl=64, time=1 ms
2022-08-24 22:53:11.867666, info, 32bytes from 192.168.2.1, icmp_seq=24, ttl=64, time=1 ms
2022-08-24 22:53:12.883522, info, 32bytes from 192.168.2.1, icmp_seq=25, ttl=64, time=3 ms
2022-08-24 22:53:13.882597, info, 32bytes from 192.168.2.1, icmp_seq=26, ttl=64, time=1 ms
2022-08-24 22:53:14.889978, info, 32bytes from 192.168.2.1, icmp_seq=27, ttl=64, time=3 ms
2022-08-24 22:53:15.898970, info, 32bytes from 192.168.2.1, icmp_seq=28, ttl=64, time=5 ms
2022-08-24 22:53:16.906104, info, 32bytes from 192.168.2.1, icmp_seq=29, ttl=64, time=1 ms
2022-08-24 22:53:17.907944, info, 32bytes from 192.168.2.1, icmp_seq=30, ttl=64, time=1 ms
2022-08-24 22:53:18.922668, info, 32bytes from 192.168.2.1, icmp_seq=31, ttl=64, time=1 ms
2022-08-24 22:53:19.929109, info, 32bytes from 192.168.2.1, icmp_seq=32, ttl=64, time=2 ms
2022-08-24 22:53:20.938211, info, 32bytes from 192.168.2.1, icmp_seq=33, ttl=64, time=1 ms
2022-08-24 22:53:21.948640, info, 32bytes from 192.168.2.1, icmp_seq=34, ttl=64, time=1 ms
2022-08-24 22:53:22.966625, info, 32bytes from 192.168.2.1, icmp_seq=35, ttl=64, time=7 ms
2022-08-24 22:53:23.970542, info, 32bytes from 192.168.2.1, icmp_seq=36, ttl=64, time=1 ms
2022-08-24 22:53:24.983807, info, 32bytes from 192.168.2.1, icmp_seq=37, ttl=64, time=2 ms
2022-08-24 22:53:25.992200, info, 32bytes from 192.168.2.1, icmp_seq=38, ttl=64, time=1 ms
2022-08-24 22:53:27.002957, info, 32bytes from 192.168.2.1, icmp_seq=39, ttl=64, time=1 ms
